Restaurant,url,
Lai Po Heen,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1065676-Reviews-Lai_Po_Heen-Kuala_Lumpur_Wilayah_Persekutuan.html,
Aliyaa Island Restaurant & Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1371262-Reviews-Aliyaa_Island_Restaurant_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html,
Tamarind Springs By Samadhi,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d785561-Reviews-Tamarind_Springs_By_Samadhi-Kuala_Lumpur_Wilayah_Persekutuan.html,
Marini's on 57,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3244412-Reviews-Marini_s_on_57-Kuala_Lumpur_Wilayah_Persekutuan.html,
FS Nasi Kandar Corner,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12032654-Reviews-FS_Nasi_Kandar_Corner-Kuala_Lumpur_Wilayah_Persekutuan.html,
RSMY,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1152913-Reviews-RSMY-Kuala_Lumpur_Wilayah_Persekutuan.html,
Bijan,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1020629-Reviews-Bijan-Kuala_Lumpur_Wilayah_Persekutuan.html,
Leaf & Co Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d10876892-Reviews-Leaf_Co_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html,
La Boca Latino Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4009875-Reviews-La_Boca_Latino_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html,
Restoran Yusoof dan Zakhir,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1165565-Reviews-Restoran_Yusoof_dan_Zakhir-Kuala_Lumpur_Wilayah_Persekutuan.html,
Lemon Garden,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d815127-Reviews-Lemon_Garden-Kuala_Lumpur_Wilayah_Persekutuan.html,
Tujo,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4778126-Reviews-Tujo-Kuala_Lumpur_Wilayah_Persekutuan.html,
AQUA Restaurant & Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8401491-Reviews-AQUA_Restaurant_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html,
Bombay Palace,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d969030-Reviews-Bombay_Palace-Kuala_Lumpur_Wilayah_Persekutuan.html,
Shang Palace,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1134195-Reviews-Shang_Palace-Kuala_Lumpur_Wilayah_Persekutuan.html,
Dewakan Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7785726-Reviews-Dewakan_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html,
Kampachi Pavilion,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d919240-Reviews-Kampachi_Pavilion-Kuala_Lumpur_Wilayah_Persekutuan.html,
Halab KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d10083838-Reviews-Halab_KL-Kuala_Lumpur_Wilayah_Persekutuan.html,
Gobo Upstairs Lounge & Grill,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d919372-Reviews-Gobo_Upstairs_Lounge_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html,
Emily's Steakhouse Kuala Lumpur,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d17543167-Reviews-Emily_s_Steakhouse_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html,
